1032,비에이치아이,"2,800",95,+3.51%,500,"278,290",728,5.21,46.41,1.35,
1033,대성파인텍,"2,325",40,-1.69%,100,"7,413,645",728,-2.91,-58.85,0.84,
1034,태양,"8,450",70,+0.84%,500,"13,648",727,3.74,592.33,3.78,
1035,윈팩,"1,895",0,0.00%,500,"1,038,418",726,45.05,221.14,1.46,
1036,케이엔더블유,"7,060",230,+3.37%,500,"154,977",724,-23.84,-504.76,0.57,
1037,W홀딩컴퍼니,311,1,+0.32%,100,"1,812,753",723,-65.34,-4.41,1.56,
1038,에프알텍,"6,340",110,-1.71%,500,"96,004",723,6.27,60.63,2.24,
1039,무림SP,"3,255",5,-0.15%,500,"593,519",721,-1.73,-38.70,2.17,
1040,케이씨에스,"6,000",110,-1.80%,500,"199,087",720,18.63,8.43,0.66,
1041,한양디지텍,"5,510",0,0.00%,500,"41,314",720,-27.67,-370.37,1.23,
1042,얼라인드,"10,000",100,-0.99%,500,"157,896",719,37.33,79.27,2.53,
1043,린드먼아시아,"5,320",20,+0.38%,500,"45,867",718,5.19,15.39,1.67,
1044,푸드웰,"7,180",130,+1.84%,500,"299,823",718,16.28,14.97,1.51,
1045,잉크테크,"4,465",60,+1.36%,500,"48,182",715,6.74,-40.51,0.55,
1046,흥국,"5,800",30,-0.51%,500,"95,714",715,-11.47,-20.22,5.19,
1047,파버나인,"5,280",70,-1.31%,500,"132,071",714,-7.81,-187.57,0.67,
1048,현대통신,"8,270",30,+0.36%,500,"19,857",713,-17.89,-47.76,6.05,
1049,ITX-AI,"2,430",25,-1.02%,500,"146,554",712,N/A,N/A,3.05,
1050,한일사료,"1,800",15,+0.84%,500,"318,281",709,11.58,115.79,0.38,
1051,우림기계,"5,250",210,+4.17%,500,"1,054,244",709,-13.70,-159.08,2.31,
1052,좋은사람들,"1,420",5,-0.35%,500,"346,150",709,-1.31,-462.98,1.77,
1053,애니젠,"14,100",100,-0.70%,500,"78,650",707,52.56,17.30,1.36,
1054,인화정공,"7,560",270,+3.70%,500,"228,453",705,29.53,248.05,0.59,
1055,아이비김영,"1,660",10,-0.60%,100,"229,406",705,N/A,N/A,0.04,
1056,엔에스엔,"1,360",20,-1.45%,500,"688,095",704,49.12,-119.01,1.50,
1057,에이루트,"5,550",90,-1.60%,500,"212,004",702,40.82,80.99,0.54,
1058,소프트센,"1,960",20,-1.01%,500,"395,814",701,-28.90,-82.27,5.70,
1059,엠브레인,"7,810",20,-0.26%,500,"28,578",700,5.23,79.33,0.49,
1060,한탑,"2,605",25,+0.97%,500,"280,969",700,-16.04,"-16,314.75",1.83,
1061,코드네이처,"2,185",30,-1.35%,500,"20,378",699,116.33,176.62,0.21,
1062,지엘팜텍,"1,480",40,-2.63%,100,"1,931,154",699,32.63,31.62,0.48,
1063,엔지스테크널러지,"6,580",10,-0.15%,500,"197,536",697,N/A,N/A,1.95,
1064,한국큐빅,"4,250",110,+2.66%,500,"2,337,587",695,-4.58,88.22,5.84,
1065,배럴,"8,810",60,+0.69%,500,"46,156",695,19.73,26.64,0.58,
1066,코렌,"1,005",10,+1.01%,500,"869,496",693,-13.00,-25.65,3.42,
1067,에스에이티,"2,650",35,+1.34%,500,"920,860",693,4.65,36.36,2.69,
1068,유비벨록스,"9,730",110,-1.12%,500,"88,508",692,157.22,364.40,3.28,
1069,나우IB,"7,300",30,-0.41%,"5,000","59,845",692,N/A,N/A,0.89,
1070,상지카일룸,"1,195",10,+0.84%,500,"460,705",688,238.28,-67.84,0.58,
1071,한국바이오젠,"8,450",60,+0.72%,200,"245,376",687,12.73,5.01,2.05,
1072,윙입푸드,"1,430",0,0.00%,0,"219,861",686,16.03,-32.04,0.00,
1073,버킷스튜디오,"1,955",80,+4.27%,500,"494,820",683,-4.67,143.48,0.70,
